2022-06-12T15:43:43.897508200 Feed Money           $4.00 $4.00
2022-06-12T15:44:04.846600600 Potato Crisps A1     $3.05 $0.95
2022-06-16T13:08:07.749756700 Feed Money           $2.00 $2.00
2022-06-16T13:08:37.956060 Cola C1              $1.25 $0.75
2022-06-16T13:10:46.133561600 Cola C1              $1.25 $-1.25
2022-06-16T13:12:14.060910900 Feed Money           $2.00 $2.00
2022-06-16T13:12:31.383685600 Cola C1              $1.25 $0.75
2022-06-16T13:15:47.255170500 Feed Money           $2.00 $2.00
2022-06-16T13:16:12.661892100 Cola C1              $1.25 $0.75
2022-06-16T13:18:00.985460600 Feed Money           $5.00 $5.00
2022-06-16T13:18:07.151909400 Cola C1              $1.25 $3.75
